start_time_hour,sunset_time_hour,rat_period_start_hour,rat_period_end_hour,rat_activity_minutes,time_after_sunset_minutes,start_month,start_dayofweek,start_day_index,habit_category_neutral_response,habit_category_uncertain
1.0666666666666667,19.316666666666666,1.0333333333333334,1.1,4.0,-1095.0,4,6,124,1,0
1.0833333333333333,19.316666666666666,1.0333333333333334,1.1,4.0,-1094.0,4,6,124,1,0
1.0833333333333333,19.316666666666666,1.0333333333333334,1.1,4.0,-1094.0,4,6,124,1,0
1.0833333333333333,19.316666666666666,1.0333333333333334,1.1,4.0,-1094.0,4,6,124,1,0
1.0833333333333333,19.316666666666666,1.0333333333333334,1.1,4.0,-1094.0,4,6,124,1,0
1.3333333333333333,19.316666666666666,1.3166666666666667,1.4,5.0,-1079.0,4,6,124,1,0
1.3333333333333333,19.316666666666666,1.3166666666666667,1.4,5.0,-1079.0,4,6,124,1,0
1.3333333333333333,19.316666666666666,1.3166666666666667,1.4,5.0,-1079.0,4,6,124,1,0
1.35,19.316666666666666,1.3166666666666667,1.4,5.0,-1078.0,4,6,124,1,0
1.7166666666666668,19.316666666666666,1.6833333333333333,1.85,10.0,-1056.0,4,6,124,1,0
1.7333333333333334,19.316666666666666,1.6833333333333333,1.85,10.0,-1055.0,4,6,124,1,0
1.7333333333333334,19.316666666666666,1.6833333333333333,1.85,10.0,-1055.0,4,6,124,1,0
1.75,19.316666666666666,1.6833333333333333,1.85,10.0,-1054.0,4,6,124,1,0
1.7666666666666666,19.316666666666666,1.6833333333333333,1.85,10.0,-1053.0,4,6,124,1,0
1.8,19.316666666666666,1.6833333333333333,1.85,10.0,-1051.0,4,6,124,1,0
1.8166666666666667,19.316666666666666,1.6833333333333333,1.85,10.0,-1050.0,4,6,124,1,0
1.85,19.316666666666666,1.6833333333333333,1.85,10.0,-1048.0,4,6,124,1,0
1.85,19.316666666666666,1.6833333333333333,1.85,10.0,-1048.0,4,6,124,1,0
2.85,19.316666666666666,2.85,3.1,15.0,-988.0,4,6,124,1,0
2.8833333333333333,19.316666666666666,2.85,3.1,15.0,-986.0,4,6,124,1,0
2.966666666666667,19.316666666666666,2.85,3.1,15.0,-981.0,4,6,124,1,0
2.966666666666667,19.316666666666666,2.85,3.1,15.0,-981.0,4,6,124,1,0
2.9833333333333334,19.316666666666666,2.85,3.1,15.0,-980.0,4,6,124,1,0
2.9833333333333334,19.316666666666666,2.85,3.1,15.0,-980.0,4,6,124,1,0
3.066666666666667,19.316666666666666,2.85,3.1,15.0,-975.0,4,6,124,1,0
3.1,19.316666666666666,2.85,3.1,15.0,-973.0,4,6,124,1,0
3.5666666666666664,19.316666666666666,3.55,3.8,15.0,-945.0,4,6,124,1,0
3.5666666666666664,19.316666666666666,3.55,3.8,15.0,-945.0,4,6,124,1,0
3.6666666666666665,19.316666666666666,3.55,3.8,15.0,-939.0,4,6,124,1,0
3.75,19.316666666666666,3.55,3.8,15.0,-934.0,4,6,124,0,0
3.7666666666666666,19.316666666666666,3.55,3.8,15.0,-933.0,4,6,124,0,0
4.566666666666666,19.316666666666666,4.516666666666667,4.616666666666667,6.0,-885.0,4,6,124,1,0
4.6,19.316666666666666,4.516666666666667,4.616666666666667,6.0,-883.0,4,6,124,1,0
5.0,19.316666666666666,4.966666666666667,5.0,2.0,-859.0,4,6,124,1,0
23.35,19.316666666666666,23.35,23.4,3.0,242.0,4,5,123,1,0
23.366666666666667,19.316666666666666,23.35,23.4,3.0,243.0,4,5,123,1,0
2.8666666666666667,19.316666666666666,2.85,3.1,15.0,-987.0,4,6,124,1,0
3.1,19.316666666666666,2.85,3.1,15.0,-973.0,4,6,124,1,0
20.716666666666665,19.316666666666666,20.616666666666667,20.883333333333333,16.0,84.0,4,6,124,1,0
20.8,19.316666666666666,20.616666666666667,20.883333333333333,16.0,89.0,4,6,124,1,0
20.816666666666666,19.316666666666666,20.616666666666667,20.883333333333333,16.0,90.0,4,6,124,1,0
20.833333333333332,19.316666666666666,20.616666666666667,20.883333333333333,16.0,91.0,4,6,124,0,0
22.883333333333333,19.316666666666666,22.883333333333333,23.1,13.0,214.0,4,6,124,0,0
22.883333333333333,19.316666666666666,22.883333333333333,23.1,13.0,214.0,4,6,124,1,0
22.916666666666668,19.316666666666666,22.883333333333333,23.1,13.0,216.0,4,6,124,0,0
22.933333333333334,19.316666666666666,22.883333333333333,23.1,13.0,217.0,4,6,124,0,0
23.0,19.316666666666666,22.883333333333333,23.1,13.0,221.0,4,6,124,1,0
23.016666666666666,19.316666666666666,22.883333333333333,23.1,13.0,222.0,4,6,124,1,0
23.016666666666666,19.316666666666666,22.883333333333333,23.1,13.0,222.0,4,6,124,1,0
23.033333333333335,19.316666666666666,22.883333333333333,23.1,13.0,223.0,4,6,124,0,0
23.1,19.316666666666666,22.883333333333333,23.1,13.0,227.0,4,6,124,1,0
1.5,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1069.0,4,0,125,1,0
1.5166666666666666,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1068.0,4,0,125,1,0
1.5166666666666666,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1068.0,4,0,125,1,0
1.5333333333333332,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1067.0,4,0,125,0,0
1.5333333333333332,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1067.0,4,0,125,1,0
1.55,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1066.0,4,0,125,0,0
1.6166666666666667,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1062.0,4,0,125,1,0
1.6666666666666665,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1059.0,4,0,125,0,0
1.6666666666666665,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1059.0,4,0,125,0,0
1.7,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1057.0,4,0,125,1,0
2.7,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-997.0,4,0,125,1,0
2.7,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-997.0,4,0,125,1,0
2.716666666666667,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-996.0,4,0,125,1,0
2.716666666666667,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-996.0,4,0,125,1,0
2.7333333333333334,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-995.0,4,0,125,1,0
2.7333333333333334,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-995.0,4,0,125,1,0
2.7666666666666666,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-993.0,4,0,125,1,0
2.7666666666666666,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-993.0,4,0,125,1,0
2.85,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-988.0,4,0,125,1,0
2.85,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-988.0,4,0,125,1,0
2.9166666666666665,19.316666666666666,2.6833333333333336,2.9166666666666665,14.0,-984.0,4,0,125,0,0
3.8833333333333333,19.316666666666666,3.716666666666667,4.7,59.0,-926.0,4,0,125,1,0
3.9,19.316666666666666,3.716666666666667,4.7,59.0,-925.0,4,0,125,1,0
1.5666666666666667,19.316666666666666,1.4333333333333333,1.7333333333333334,18.0,-1065.0,4,0,125,0,0
21.95,19.3,21.933333333333334,22.0,4.0,159.0,4,4,122,0,0
22.0,19.3,21.933333333333334,22.0,4.0,162.0,4,4,122,0,0
22.2,19.3,22.133333333333333,22.2,4.0,174.0,4,4,122,1,0
22.683333333333334,19.3,22.65,22.683333333333334,2.0,203.0,4,4,122,0,0
23.016666666666666,19.3,23.016666666666666,23.2,11.0,223.0,4,4,122,1,0
23.033333333333335,19.3,23.016666666666666,23.2,11.0,224.0,4,4,122,1,0
23.05,19.3,23.016666666666666,23.2,11.0,225.0,4,4,122,1,0
23.183333333333334,19.3,23.016666666666666,23.2,11.0,233.0,4,4,122,1,0
23.183333333333334,19.3,23.016666666666666,23.2,11.0,233.0,4,4,122,1,0
23.2,19.3,23.016666666666666,23.2,11.0,234.0,4,4,122,1,0
23.266666666666666,19.3,23.25,23.283333333333335,2.0,238.0,4,4,122,1,0
23.266666666666666,19.3,23.25,23.283333333333335,2.0,238.0,4,4,122,1,0
