bat_landing_to_food,risk,reward,month,season,bat_start_hour,sin_hour,cos_hour,bat_landing_to_food_lag1,log1p_seconds_after_rat_arrival,log1p_hours_after_sunset,log1p_bat_start_hour,log1p_rat_start_hour,log1p_rat_end_hour
8.0,0,1,4,1,1,0.9999075347030432,-0.01359860449026373,2.0,4.787491742782046,1.9533033864558114,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,1,0,4,1,1,0.9999015060073156,-0.014034895236588291,8.0,5.4510384535657,1.9535397000134387,0.6931471805599453,0.6931471805599453,0.6931471805599453
10.0,0,1,4,1,1,0.9999004827161243,-0.0141076101470652,3.0,4.844187086458591,1.9535790802012871,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,0,1,4,1,1,0.9998844988058034,-0.015198323850585725,10.0,5.236441962829949,1.954169596573757,0.6931471805599453,0.6931471805599453,0.6931471805599453
15.0,0,1,4,1,1,0.999883390911671,-0.015271037259418151,3.0,4.962844630259907,1.954208951822783,0.6931471805599453,0.6931471805599453,0.6931471805599453
26.0,1,1,4,1,1,0.9997760907564581,-0.021160537605043054,15.0,5.4116460518550396,1.9573916031803742,0.6931471805599453,0.6931471805599453,0.6931471805599453
19.0,1,0,4,1,1,0.9997392990108558,-0.022832739942518884,26.0,5.869296913133774,1.9582934756226786,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,0,1,4,1,1,0.9995853681937397,-0.02879395236826339,19.0,6.077642243349034,1.9615022438151495,0.6931471805599453,0.6931471805599453,0.6931471805599453
6.0,0,1,4,1,1,0.9991319421682149,-0.04165767803383918,3.0,6.418364935936212,1.9683935869085252,0.6931471805599453,0.6931471805599453,0.6931471805599453
1.0,0,1,4,1,1,0.9988167709422916,-0.048631862851568466,6.0,6.5638555265321274,1.972111495129845,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,0,1,4,1,1,0.9987954562051724,-0.04906767432741801,1.0,0.0,1.9723434061234688,0.6931471805599453,0.6931471805599453,0.6931471805599453
6.0,0,1,4,1,1,0.9987449823363695,-0.05008453112413882,3.0,2.70805020110221,1.972884322619151,0.6931471805599453,0.6931471805599453,0.6931471805599453
22.0,1,1,4,1,1,0.9986710810000886,-0.05153709318650532,6.0,5.480638923341991,1.9736565531683754,0.6931471805599453,0.6931471805599453,0.6931471805599453
1.0,0,1,4,1,1,0.9986180930592092,-0.05255382207593037,22.0,3.8918202981106265,1.9741967600190167,0.6931471805599453,0.6931471805599453,0.6931471805599453
9.0,1,0,4,1,1,0.9985601716053734,-0.05364311403570156,1.0,6.656726524178391,1.9747752294514853,0.6931471805599453,0.6931471805599453,0.6931471805599453
9.0,1,1,4,1,1,0.9984730708489182,-0.05524062625940391,9.0,5.673323267171493,1.9756230463584166,0.6931471805599453,0.6931471805599453,0.6931471805599453
23.0,1,0,4,1,1,0.9984448209897634,-0.055748896300458234,9.0,6.693323668269949,1.9758926556962269,0.6931471805599453,0.6931471805599453,0.6931471805599453
4.0,0,1,4,1,1,0.9984163124118512,-0.05625715163355421,23.0,5.720311776607412,1.9761621922258341,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.085746166,1,1,4,1,1,0.9983709904720015,-0.05705580937954239,4.0,5.755742213586912,1.976585603059915,0.6931471805599453,0.6931471805599453,0.6931471805599453
4.0,0,1,4,1,1,0.9983376277966436,-0.05763662833103824,0.085746166,5.780743515792329,1.9768934255718544,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.040027684,1,0,4,1,1,0.9979669211221491,-0.06373401247354589,4.0,6.0112671744041615,1.9801198542896665,0.6931471805599453,0.6931471805599453,0.6931471805599453
2.0,1,0,5,1,1,0.997887365752895,-0.06496772483893724,0.040027684,4.605170185988092,1.9807715573355045,0.6931471805599453,0.6931471805599453,0.6931471805599453
5.0,1,0,4,1,1,0.997786985818321,-0.06649158541943131,2.0,6.100318952020064,1.9815760164721483,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.076567662,0,1,4,1,1,0.996784708048539,-0.08012643634025456,5.0,6.452048954437226,1.9887491556726167,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.072746343,1,0,4,1,1,0.9957381224047532,-0.09222576424110934,0.076567662,6.68586094706836,1.9950781708071685,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.055695432,1,0,4,1,1,0.9956842991278237,-0.09280504550041616,0.072746343,6.695798917058491,1.995380354053401,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,0,1,4,1,1,0.9948586380886109,-0.1012733440766835,0.055695432,6.8308742346461795,1.9997893827322166,0.6931471805599453,0.6931471805599453,0.6931471805599453
4.0,0,1,4,1,1,0.9942604038114294,-0.10698714601639425,3.0,4.663439094112067,2.002755462678155,0.6931471805599453,0.6931471805599453,0.6931471805599453
5.0,0,1,4,1,1,0.9936620938332444,-0.11240837726314047,4.0,5.198497031265826,2.0055632440335205,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,0,1,4,1,1,0.9936047431267474,-0.11291419058749974,5.0,5.236441962829949,2.0058249017641976,0.6931471805599453,0.6931471805599453,0.6931471805599453
5.0,0,1,4,1,1,0.9931026051793161,-0.11724852061350434,3.0,5.5134287461649825,2.0080648788525246,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.020820512,0,1,4,1,1,0.9930599067614224,-0.1176096151808812,5.0,5.53338948872752,2.00825131733396,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,0,1,4,1,1,0.9928791397572552,-0.1191260417998221,0.020820512,0.6931471805599453,2.009033979498648,0.6931471805599453,0.6931471805599453,0.6931471805599453
9.0,1,0,4,1,1,0.9915583894245591,-0.12966094385656177,3.0,6.040254711277414,2.014458477347579,0.6931471805599453,0.6931471805599453,0.6931471805599453
1.0,0,1,4,1,1,0.991397335167588,-0.13088668313699933,9.0,6.07993319509559,2.0150881885976024,0.6931471805599453,0.6931471805599453,0.6931471805599453
11.0,1,0,4,1,1,0.9908658973751143,-0.13485093036019227,1.0,3.258096538021482,2.0171227773249236,0.6931471805599453,0.6931471805599453,0.6931471805599453
21.0,0,1,4,1,1,0.990054374023438,-0.14068523901624622,11.0,6.35088571671474,2.0201116542938635,0.6931471805599453,0.6931471805599453,0.6931471805599453
4.0,1,0,4,1,1,0.9898487085507278,-0.14212506527863536,21.0,6.385194398997726,2.0208482753724315,0.6931471805599453,0.6931471805599453,0.6931471805599453
1.0,1,0,5,1,1,0.9884498450034951,-0.15154835503088315,4.0,4.762173934797756,2.0256597734764568,0.6931471805599453,0.6931471805599453,1.0986122886681098
3.0,1,0,5,1,1,0.9884277927163342,-0.15169211774484373,1.0,4.77912349311153,2.0257330523978236,0.6931471805599453,0.6931471805599453,1.0986122886681098
7.0,1,0,4,1,1,0.988361510481036,-0.1521233861036657,3.0,3.367295829986474,2.0259528566848934,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.049410419,0,1,1,0,23,0.9880497054287403,-0.15413558837004357,7.0,2.5649493574615367,2.026977972129458,3.1780538303479458,3.1780538303479458,3.1780538303479458
1.0,0,1,1,0,23,0.9880272768476763,-0.15427929285865052,0.049410419,2.70805020110221,2.02705115452182,3.1780538303479458,3.1780538303479458,3.1780538303479458
1.0,0,1,4,1,1,0.9880160547597423,-0.15435114362062174,1.0,4.0943445622221,2.027087743578007,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.018395555,1,0,5,1,1,0.9877678462478746,-0.15593165784674787,1.0,2.302585092994046,2.0278923666628925,0.6931471805599453,0.6931471805599453,1.0986122886681098
6.0,1,0,1,0,23,0.9876313941228607,-0.1567935883349012,0.018395555,3.912023005428146,2.0283309791484343,3.1780538303479458,3.1780538303479458,3.1780538303479458
16.0,1,0,5,1,2,0.9874827222292009,-0.1577272116624365,6.0,5.313205979041787,2.0288059257112563,1.0986122886681098,0.6931471805599453,1.0986122886681098
16.0,1,0,4,1,1,0.9874482880033665,-0.15794264313104503,16.0,4.700480365792417,2.0289154966969596,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,0,1,1,0,23,0.9874138067371095,-0.15815806734065144,16.0,4.23410650459726,2.029025055809641,3.1780538303479458,3.1780538303479458,3.1780538303479458
27.0,1,0,5,1,2,0.9873907931578977,-0.1583016790404249,3.0,5.351858133476067,2.0290980884187655,1.0986122886681098,0.6931471805599453,1.0986122886681098
8.0,1,0,1,0,23,0.9872291131220081,-0.15930686803880503,27.0,4.442651256490317,2.0296091679173616,3.1780538303479458,3.1780538303479458,3.1780538303479458
0.092315438,1,0,5,1,2,0.986690674709055,-0.16260846362409817,8.0,5.602118820879701,2.031286592399951,1.0986122886681098,0.6931471805599453,1.0986122886681098
0.010695699,0,1,1,0,23,0.9860202821919302,-0.16662533752747954,0.092315438,5.231108616854587,2.033324883780511,3.1780538303479458,3.1780538303479458,3.1780538303479458
2.0,0,1,1,0,23,0.9854697232806957,-0.1698511833843648,0.010695699,5.44673737166631,2.0349597912275517,3.1780538303479458,3.1780538303479458,3.1780538303479458
1.0,0,0,1,0,23,0.9852838580922786,-0.17092606291257798,2.0,5.5093883366279774,2.0355041669763763,3.1780538303479458,3.1780538303479458,3.1780538303479458
